Group,Country,Shipper Name,Shipper Address 
,KR,3G TECHNOLOGIES CO LTD, 306 28 HYORYUNG RO 55 GIL SEOCHO GU SEOUL KR 
,CN,3H APOTHEKE LIMITED, ROOM 2105 TREND CENTRE 29-31 CHEU HONGKONG 
,CN,3H APOTHEKE LIMITED,EXPEDITORS O/B 3H APOTHEKE LIMITED RM D01 3/F WO NG KING INDUSTRIAL BUILDING NO 2 T AI YAU STREET KL HK
,TW,3H FARM LLC TAIWAN BRANCH USA,NO 455 WUSHULIN WUSHU VIL HOUBI DIST TAINAN CITY 73191 TAIWAN R O C 
,KR,3I INC,9F-903 465 DONGDAEGU-RO DONG-GU DAEGU KOREA 41260 TEL: +821056990228 
,CN,3L ASIA LIMITED, 21/F ON HING BLDG 1 ON HING TERRACE CENTRAL HONG KONG HONG KONG ISLAND HK 
,DE,3L CONSUMER PRODUCTS A,S VIB KVEJ 100 TOMMERUP 5690 DK 
,HK,3L ELECTRONICS INTERNATIONAL TRADE LTD,C/O UPS SCS HK THE SIXTH INDUSTRIAL ZONE NANLANG TZHONGSHAN CITY GUANGDONG PROVINCE 
,KR,3LAB KOREA CO LTD, 3LAB KOREA 167 EUNPYUNG-RO #4FL EUNPYUNG-GU SEOUL SOUTH KOREA 
,CA,3M CANADA COMPANY, 300 TARTAN DR LONDON ON N5V 4M9 CA 
,CN,3M CHINA LTD,NO 222 TIANLIN ROAD SHANGHAI 200233 CN 
,BR,3M DO BRASIL LTDA, ROD RAPOSO TAVARES KM 171 45 985 371/0062-20 18200-000 ITAPETININGA BR 
,BE,3M EMEA GMBH KUEHLHAUSSTRASSE,2 LANGENTHAL 4900 SWITZERLAND 
34,SG,3M INNOVATION SINGAPORE PTE LTD, 10 ANG MO KIO STREET 65 TECHPOINT #01-01 
,MY,3M INNOVATION SINGAPORE PTE LTD,GWI MANUFACTURING SDN BHD ON BEHALF OF 3M INNOVATION SINGAPORE PTE LTD 81300 SKUDAI JOHOR MALAY SIA 81300
34,SG,3M INNOVATION SINGAPORE PTE LTD, 10 ANG MO KIO STREET 65 TECHPOINT 01-01 SINGAPORE 569059 
34,SG,3M INNOVATION SINGAPORE PTE LTD, 10 ANG MO KIO STREET 65 TECHPOINT SINGAPORE 569059 SINGAPORE 
35,JP,3M JAPAN PRODUCTS LIMITED, 6-7-29 KITASHINAGAWA 
35,JP,3M JAPAN PRODUCTS LIMITED, 6-7-29 KITASHINAGAWA SHINAGAWA-KU TOKYO 141-8684 JAPAN 
,PA,3M LATIN AMERICA REGIONAL DC,RUC: 2209345-1-774636 DV52 PANAMERICA CORPORATE CENTER NORTECA 
,BR,3M MANAUS INDUSTRIA DE PRODUTOS QUI ICOS LTDA, AV TORQUATO TAPAJOS 19307 
,JP,3M PLASTIK VE METAL DIS TIC VE SAN 8TH, STREET NO:43 KAYSERI SERBEST BOLGE KAYSERI TR KAYSERI TR 
,SG,3M TECHNOLOGIES SG PTE LTD, 703 CEVA LOGISTICS 8 JURONG PIER ROAD #05-01 SINGAPORE 619160 SG 
,VN,3M VIETNAM LTD,20TH FLOOR MAPLETREE BUSINESS CENTRE BUILDING 1060 NGUYEN VAN LINH STREET TAN PHONG WARD DISTRICT 7 HO CHI MIVN 
36,DE,3NINE INDUSTRIES AB,CYLINDERAGEN 12 13152 NACKA STRAND 
36,DE,3NINE INDUSTRIES AB,CYLINDERVAGEN 12 13152 NACKA STRAND SWEDEN 
,NL,3P,34 RUE MOZART 92110 CLICHY CEDEX FR 
,DE,3P,34 RUE MOZART 92110 CLICHY CEDEX FR 
37,VN,3P METAL JOINT STOCK COMPANY, B20424A HAMLET 2 TAN NHUT COMMUNE BINH CHANH DISTRICT HO CHI MINH CITYVIET NAM 
37,VN,3P METAL JOINT STOCK COMPANY, B20424A HAMLET 2 TAN NHUT COMMUNE BINH CHANH DISTRICT HO CHI MINH C ITY VIET NAM 
,HK,3P SOURCES CO LTD, FLAT 3 8/F HARRY INDUSTRIAL BLDG 49-51 AU PUI WAN STREET FOTAN SH ATIN 
,DE,3P TECHNIK FILTERSYSTEME GMBH,ROBERT-BOSCH-STRASSE 16-18 BAD UEBERKINGEN 73337 
,VN,3Q VINA CO LTD, 8 AN DUONG VUONG ST WARD 16 DIST 8 
,IN,3S CORP, VPO GADAIPUR RAJA GARDEN BEHIND FOCAL POINT 
,MX,3S DIVISION LOGISTICA S DE RL DE,CARR LIBRAMIENTO MANUEL PEREZ TREV PIEDRAS NEGRAS 26068 MEXICO RFC: SDL160912QR9 
,CN,3S IMPORT & EXPORT SHIJIAZHUANG C,3401-3407 ROOM HENGDA PLAZA NO 77 ZHONGSHAN WEST ROAD SHIJIAZHUANG HEBEI CHINA
,CN,3S INTERNATIONAL CO LTD, NO 42 PARK ROAD 
38,CN,3S INTERNATIONAL CORP,IMITED 1511 ROYAL PARK TOWER NO 18 WUYI MIDDLE ROAD FUZHOU FUJIAN 350001 
38,CN,3S INTERNATIONAL CORP,IMITED 1511 ROYAL PARK TOWER NO 18 WUYI M IDDLE ROAD FUZHOU FUJIAN CHINA 
38,CN,3S INTERNATIONAL CORP,IMITED 1511 ROYAL PARK TOWER NO 18 WUYI MIDDLE ROAD FUZHOU FUJIAN CHINA 350005 
39,JP,3SJAPAN INC,6-6-32 SHINMEI-CHO TAKAHAMA-CITY AICHI JAPAN 444-1305 TEL:0566-45-5330 
39,JP,3SJAPAN INC,6-6-33 SHINMEI-CHO TAKAHAMA-CITY AICHI 444-1305 JAPANJP TAKAHAMA-CITY 444-1305 
39,JP,3SJAPAN INC,6 6 32 SHINMEI CHO 
39,JM,3SJAPAN INC,6-6-32 SHINMEI-CHO TAKAHAMA-CITY AICHI JAPAN 444-1305 TEL:0566-45-5330 
,VN,3T VINA SEW EXPORT CO LTD, GHEN VILLAGE LIEN SON COMMUNE LUO NG SON DISTRICT HOA BINH PROVINCE VIET NAM 
,CN,3TOPS TECHNOLOGYHK CO LTD, 510 5F 1ST BLD QI LIFE HUASHENG AI INDU PARK NO DONGHUAN 2ND RD LONGHUA SHENZHEN CHINA 518109 
,CN,3Y POWER TECHNOLOGY TAIWAN INC,2ND FLOOR NO 576 SEC 1 MINSHENG N RAOD GUEISHAN SHIANG 
,DE,4 COILS TECH S R O,VRAZSKA 143 PRAHA 5 - RADOTIN 15300 
,IN,40002,CENTURY DISTRIBUTION SYSTEMS INC A-701 GODREJ COLISEUM BEHIND EVER ARD NAGAR OFF SOMAIYA ROAD SION EAST MUMBA ON BEHALF OF 40002
40,DZ,41ZERO42 SRL, VIA MONTE MONGIGATTO 24 
40,IT,41ZERO42 SRL, VIA MONTE MONGIGATTO 24 4 FIORANO MODENESE 41042 IT 
,GB,49 HALL BARN, ROAD ISLEHAM CAMBRIDGE CB7 5QZ UNITED KINGDOM 
,VN,49 MOO,CENTURY DISTRIBUTION SYSTEMS INC ON BEHALF OF 49 MOO 1 BANGBUATONG-LADBUALUANG R D NONTHABURI 11150 TH
,PK,49TH NORTH SMC PVT LTD, DAVIS ROAD LAHORE PUNJAB PAKISTAN 42 3214710 
41,LK,4A YARN DYEING LTD,KAICHA BARI BAIPAIL SAVAR DHAKA-1340 BANGLADESH 
41,BD,4A YARN DYEING LTD,KAICHA BARI DHAKA 1340 BD 
41,BD,4A YARN DYEING LTD,KAICHA BARI BAIPAIL DHAKA-1340 
,CN,4B WORLD TECHNOLOGY CO LTD, NO 7 LANER ROAD LONGXIN COMMUNITY BAOLONG STREET LONGGANG DISTRICT SHENZHEN GUANGDONG 518116 CN 
,IN,4CAB INDUSTRIES,UNIT NO 1 DAMA INDUSTRIAL ESTATE DHUMAAL NAGAR WALIV VILLAGE 
,CN,4FASHIONS LTD,ROOM 203 NO 5 THE 5TH STREET LUOYONG BEI ROAD 
42,DE,4FASTENING GMBH,AM PFAHLGRABEN 4 35415 POHLHEIM DE 
42,DE,4FASTENING GMBH,AM PHALGRABEN 4 POHLHEIM 35415 DE 
42,ES,4FASTENING GMBH,AM PFAHLGRABEN 4 POHLHEIM HE 35415 GERMANY 
42,JP,4FASTENING GMBH,AM PFAHLGRABEN 4 POHLHEIM 35415 DE 
,PK,4FIT INTERNATIONAL MARALA, ROAD MURAD PUR SIALKOT 51310 PAKISTAN SIALKOT PK 
,DE,4JET TECHNOLOGIES GMBH,KONRAD ZUSE STRASSE 1 52477 ALSDORF DE 
43,DE,4M MP SRL, VIILE SIBIULUI NO 1 
43,IT,4M MP SRL, VIILE SIBIULUI NR 1 SIBIU RO 
,IT,4M PLANTS SRL, 54 VIA A MANZONI MAGNAGO MI MI 20020 IT 
,ES,4N INDUSTRIAL SL,CARRETERA DE BARCELONA 414 
,GB,4PL COMPLIANCE LTD,BRICKFIELD LANE CHANDLERS FORD IND USTRIAL ESTATE 
,KR,4S INC,912-201 15 GUKCHAEGYEONGUWON 1-RO SEJONG-SI REPUBLIC OF KOREA 
,CN,4S SPORT EQUIPMENT,BAISHIDONG VILLAGE QUICHANG TOWN HUIYANG DISTRIC 
,IS,4SLOG,1200 ROUTE DES BLEUETS ETAINHUS 76430 FR 
,BE,4STOX NV,NOORDERLAAN 614 ANTWERP VAN 2030 BELGIUM 
,CN,4TRUSTY INDUSTRIAL CO LTD, ROOM 518 BUILDING JINHUIQIU NO 5 LANGSHAN ROAD 2 
,CN,4U SPORTING GOODS CO LTD, NO 13 PANLING DADI ROAD PANLING IN DUSTRIAL AREA TIANBIAN VILLAGE SHIPAI TOWN 
44,TR,5 BOLGE,HALITLAR GIDA SAG URUN SAN VE TIC STI BASPINAR ORGANIZE OSB MAH O B 5 BOLGE 83561 NOLU CAD NO: 28 HITKAMIL/ GAZIANTEP
44,JP,5 BOLGE,HALITLAR GIDA SAG URUN SAN VE TIC STI BASPINAR ORGANIZE OSB MAH O B 5 BOLGE 83561 NOLU CAD NO: 28 HITKAMIL/ GAZIANTEP
44,TR,5 BOLGE,HALITLAR GIDA SAG URUN SAN VE TIC L STI BASPINAR ORGANIZE OSB MAH O B 5 BOLGE 83561 NOLU CAD NO: 28 HITKAMIL/ GAZIANTEP
,DO,5 ROCAS SRL, C/ 1RA 1 
,CN,5 STAR MFG CO LTD, 4008-4009 40/F ONE PACIFIC PLACE 88 QUEENSWAY 
,GB,5 TOPSFIELD, ROAD LONDON N8 8SN 
,TW,5 WIN TECHNOLOGY INC,NO 7 KAIFA 4TH RD RENDE DIST 
,NI,505 CUSTOM TRADE S A,SALIDA NORTE FRENTE DONDE FUE LA CABANA SAN RAMON ESTELI NICARAGUA NIC 
45,CN,509 CREW HONG KONG LIMITED, UNIT 511 5/F LIPPO SUN PLAZA 28 CANTON ROAD KOWLOON 
45,CN,509 CREW HONG KONG LIMITED, UNIT 511 5/F LIPPO SUN PLAZA 28 CANTON ROAD KOWLOON HONG KONG HONG KONG 
,ES,51 RASARITULUI, STREET DN7 070000 BUFTEA ILFOV COUNTY ROMANIA TEL: 0040 372833300 
46,CN,515 PRODUCTION LLC,RM D1-08 7/F HANG FUNG IND BLDG HOK YUENSTREET HUNG HOM KOWLOON HONG KONG CN 
46,CN,515 PRODUCTION LLC,RM D1-08 7/F HANG FUNG IND BLDG HOK YUEN STREET HUNG HOM KOWLOON 
,PA,55 MALBEC,RIVADAVIA 244 PISO2 OFICINA 2 5500 CIUDAD MENDOZA ARGENTINA 
,CL,55 MALBEC S A,VIAMONTE 4620 RIVADAVIA 244 MENDOZA 5505 AR 
,CO,55 MALBEC S A,NICOLAS ARANITI - 0261 3343896 30-71185068-2 MENDOZA AR 
,CL,55 MALBEC SA,LARREA 723 CHACRAS DE CORIA 
,BS,5BLUE PROCESS EQUIPMENT INC,2303 8 STREET NISKU AB T9E 7Z3 CANADA 
47,CN,5ELEM HI TECH CORP, 986 MACHANG ROAD JI ANGYAN ECONOMI C DEVELOPMENT ZONE 
47,CN,5ELEM HI TECH CORP, NO 986 MACHANG ROAD JIANGYAN ECONOMIC DEVELOPMENT ZONE JIANGYAN CN 
47,CN,5ELEM HI TECH CORP, NO 986 MACHANG ROAD ECONOMIC DEVEL OPMENT DISTRICT JIANGYAN CITY JIAN GSU PROVINCE CHINA 225500 
,PT,5ENSESINFOOD S A,RUA DO OUTEIRO N 589 4475-150 MAIA PORTUGAL 
,DE,5N PLUS LUBECK GMBH,KANINCHENBORN 24-28 
48,CN,5N PLUS SHANGYU CO LTD, NO 19 WEIYI EAST ROAD SHANGYU IND USTRY ZONE HANGZHOU BAY SHANGYU CITY ZHEJIANG CHINA 312369 SHANGYU CN 
48,CN,5N PLUS SHANGYU CO LTD, NO 19 WEIYI EAST ROAD SHANGYU INDUSTRY ZONE HANGZHOU BAY 
,DE,5N PV GMBH,ODERLANDSTRASZE 104 15890 EISENHUETTENSTADT GERMANY 
,CN,5PIGROUP, CONSULTING S L C FRANCESC LAYRET 75 8O 3A 08100 MOLLET DEL VALLES 
,CN,6 PENG XIANG,CENTURY DISTRIBUTION SYSTEMS SHENZHEN LTD ON BEHALF OF 6 PENG XIANG RD HUIZHOU 44 516121 CN
,VN,628 IMPORT & EXPORT TRADE SERVICE PRODUCTION CO LT,D TAN BINH IZ TAY THANH TAN PHU 
,JP,6347291 CANADA INC,465 BOUL ALEXANDRE TACHE GATINEAU QC J9A 1M8 CANADA 
,PL,7 ANNA SP ZOO SPOLKA KOMANDYTOWA,UL: POTOKOWA 20D GDANSK POLAND 
,CN,7 EASY HOUSEWARE LTD,ROOM A201 NO 2038 TAIHE ROAD SHANGHAI 201901 CHINA SHANGHAI CHINA 
,IN,7 HILLS GRANIMARMO PRIVATE LIMITED, PLOT NO 44 45 KHASRA NO 884/9 VIL AJMER RJ 305801 INDIA 
,TW,7 LEADER CORP,NO 98 110 1ST RD TAICHUNG INDUSTRIAL PARK 
,IN,7 SEAS,862/11 VAKIL COLONY JAWAHAR KI NADI 
,IN,7 SEAS,UNIT II H 239-46 BORANADA INDUSTRIAL PARK JODHPUR RAJASTHAN 342001 INDIA 
,CA,7 SEAS MEDIPHARM,68 MASSIE ST 
,VN,72 DAI NGHIA CO LTD, NO 72 390 ROAD CAY SOP VILLAGE TAN AN HOI COMMUNE CU CHI DISTRICT 
,PH,72963481MUHAMMAD ASAD C/O ASIAN TIGERS,LANE MOVING & STORAGE N4 JY & SONS COMPOUND VETERANS CENTER TAGUIG 1631 METRO MANILA PHILIPPINES 
49,VN,76 ONE MEMBER LIMITED,LIALIBILITY COMPANY KIEU KY - GIA LAM - HA NOI TEL: 84 4 38276386; 36781603 
,VN,76 ONE MEMBER LIMITED, LIABILITY STADIUM BOULEVARD 02-01 SINGAPORE 397799 SG 
,VN,76 ONE MEMBER LIMITED, LIALIBILITY KIEU KY - GIA LAM - HA NOI TEL 84 4 38276386; 36781603 FAX 84 4 38 276406 084 
49,VN,76 ONE MEMBER LIMITED,LIALIBILITY COMPANY KIEU KY - GIA LAM - HA NOI TEL: 84 4 38276386; 36781603 FAX: 84 4 38276406 
,IN,7G GLOBAL LINK SOLUTIONS PVT LTD,FIRST FLOOR GALI NO 02 VILLAGE HA HAZIPUR SECTOR 104 NOIDA GAUTAMBUD 
50,KH,8 STAR SPORTSWEAR LTD,LOT 0176 DAMNAK THOM VILLAGE SANGKAT STOEUNGMEAN CHEY KHAN MEAN CHEY PHNOM PE NH CAMBODIA TEL 85523424 855 
50,KH,8 STAR SPORTSWEAR LTD,LOT 0176 DAMNAK THOM VILLAGE SANGKAT STOEUNGMEAN CHEY KHAN MEAN CHEY PHNOM PENH 
,TH,8/8 MOO,10 NONGPRUE PHANAT NIKHOM CHONBURI 20140 THAILAND 
,CN,81 DAMING,CHAMPION POWER EQUIPMENT INC O/B #81 DAMING ROAD NINGBO CN
51,KR,815 HEALTHY&BEAUTIFUL,78-27 SEODUNMUL-GIL POSEUNG-EUP P YEONGTAEK-SI KR 
51,KR,815 HEALTHY&BEAUTIFUL,78-27 SEODUNMUL-GIL POSEUNG-EUP PYEONGTAEK-SI GYEONGGI-DO REPUBLIC OF KOREA 
51,KR,815 HEALTHY&BEAUTIFUL CO LTD,78-27 SEODUNMUL-GIL POSEUNG-EUP PYEONGTAEK-SI GYEONGGI-DO KOREA 
51,KR,815 HEALTHYANDBEAUTIFUL CO LTD,7827 SEODUMULGIL POSEUNGEUP PY EONGTAEKSI GYEONGGIDO KOREA 1781 
51,KR,815HEALTHY AND BEAUTIFUL CO LTD,78-27 SEODUNMUL-GIL POSEUNG- EUP PYEONGTAEK-SI GYEONGGI- DO REPUDLIC OF KOREA 
52,JM,8789509 CANADA INC,32 JONATHAN GATE THORNHILL ON L4J 5K3 CANADA ATTN: ALLEN SUN TELL:6479663186 EMAIL: T-E-METAL2013@HOTMAIL COM 
52,JM,8789509 CANADA INC,32 JONATHAN GATE THORNHILLON L4J 5K3 CANADA ATTN: ALLEN SUN TELL:6479663186 EMAIL: T-E-METAL2013@HOTMAIL COM 
,NL,8BBA POMPEN & BUIZEN B V, ZUTPHENSESTRAAT 246 APELDOORN 7325 WV NL 
,HK,8BPLUS LIMITED, 70 MORRISON HILL ROAD WAN CHAI HK 
,DE,8DEVICES UAB,ANTAKALNIO 17 3 02580277E8 
,CN,8LG ELECTRONICS TIANJIN APPLIANCES CO LTD, XING DIAN ROAD BEI CHEN DIS T TIANJIN CHINA 
,NL,8PE FABRYKA VIKON LUX,58009 CHERNIVTSI SICHOVYKH STRILTSIV STREET 34B UKRAINE
,IN,9 HANDS,16/143 GEETA COLONY 
53,SG,9 STAR APPARELS INDUSTRIES LTD,PLOT# 56 VATULIA HOUSE # 116 NURANI MADRASA ROAD # 05 TURAG DHAKA-1230 BANGLADESH 
53,SG,9 STAR APPARELS INDUSTRIES LTD,PLOT # 56 VATULIA HOUSE # 116 NURANI MADRASA ROAD# 05 TURAG DHBD 
,IT,900 PROJECT SRL, VIA CAMPOROSOLO N 198 SAN BONIFACIO 37047 IT 
,CN,91440101MA5AL8933J GUANGZHOU QIAOBAYOUCHUANG TECHNOLOGY CO LTD, NO : 102 BUILDING 4 XIANGYUN XIN STREET 89 BAIYUN 
,CA,9164 4203 QUEBEC INC,DEVA PAPER 500 RUE LEGER RIVIERE-BEAUDETTE QC J0P 1R0 CANADA 
,AF,9250611759, 
,CA,9321 7073 QUEBEC INC,5086 FRANCOIS CUSSON CANADA H4C 3K4 
,CA,9346 5797 QUEBEC INC,2212 AVENUE WILSON 
,CA,9364 4649 QUEBEC INC,3490 BOUL DE CHENONCEAU LAVAL QC H7T 3B6 CANADA 
,CA,9406 9184 QUEBEC INC,ENSEIGNES 3152 RUE JOSEPH MONIER TERREBONNE QC J6X 4R1 DEALER REGISTRATION NO 2108677-1 
54,DE,950TH TRANSPORTATION COMPANY SDD,D-27580 BREMERHAVEN GERMANY UNIT 22419 APO AE 09096-2419 PHONE: 49 0 4718918032 
54,DE,950TH TRANSPORTATION COMPANY SDD,D-27580 BREMERHAVEN GERMANY UNIT 22419 APO AE 09096-2419 PHONE: 49 0 4718918032 / FAX: 49 
54,DE,950TH TRANSPORTATION COMPANY SDDC,D-27580 BREMERHAVEN GERMANY UNIT 22419 APO AE 09096-2419 PHONE: 49 0 4718918032 
,CA,9937510 CANADA CORP, 44 FASKEN DRIVE UNIT 18 & 19 
,JP,9999 3110001014191 SANKA CO LTD, 2153-5 TSUKANOME SANJO-CITY NIIGATAJAPAN 955-0055 
55,IN,A & A LABELS,468 & 469 UDYOG VIHAR PHASE-V 
55,IN,A & A LABELS,468-469 UDYOG VIHAR PHASE-5 GURGAON 
,GR,A & CH IFANTIS S A,FOOD INDUSTRY 4 SENEKA STR 15TH KLM NAT ROAD ATHENA-LAMIAP O BOX 51087-145 10 K IFISSIA GR 
,CN,A & D HOLDINGS LIMITED, ROOM 801 HANLEY HOUSE 776-778 NATHAN ROAD 
,TW,A & D JASMINE INTERNATIONAL CO LTD, 602 JIAOSU RD KAOHSIUNG CITY YANCHAO DISTRICT 824 TW 
,DE,A & E KELLER GMBH & CO,KG NIEDEREIMERFELD 10 
,HK,A & E RISING TECHNOLOGIES LTD,UNIT 01-03 66/F THE CENTER 99 QUEENS ROAD CENTRAL 
,HK,A & E RISING TECHNOLOGIES LTD,66/F THE CENTER 99 QUEEN S ROAD CENTRAL HONG KONG HONG KONG ISLAND HK 
,DE,A & F GROSSERIEN GMBH JOHN SKILTON, STR 22 
56,CN,A & I INDUSTRIES LTD,KARON INC O/B A & I INDUSTRIES LTD SHUNDE FOSHAN FUAN INDUSTRY PARK LELIU TOWN SHUNDE DISTRICT
56,VN,A & I INDUSTRIES LTD,KARON INC O/B A & I INDUSTRIES LTD SHUNDE FOSHAN
57,PK,A & J APPAREL,LA-6/A BLOCL 22 F B INDUSTRIAL AREA KARACHI PAKISTAN 
57,PK,A & J APPAREL PVT LTD, LA-6/A BLOCK - 22 F B INDUSTRIAL AREA KARACHI - PAKISTAN 
,VN,A & J VIETNAM CO LTD, LOT NO 47-1 0 N16 STREET PHUOC DONG IP GO DAU TAY NINH VN 
,CN,A & L ENTERPRISES, RM 11 11/FL YUEN LONG TRADING CE NTRE 33 WANG YIP STREET WEST YUEN LONG HONGKONG CN 
58,CN,A & L GLOBAL TRADE CO LTD,UNIT 2505 25/F THE SUNS GROUP CEN TRE NO 200 GLOUCESTER ROAD WANCHA I HONG KONG 999077 
58,CN,A & L GLOBAL TRADE CO LTD, UNIT 2505 25/F THE SUN&APOS;S GRO UP CENTRE NO 200 GLOUCESTER ROAD W ANCHAI HONG KONG 999077 
,CN,A & O GLOBAL LIMITED, 18TH FLOOR TUNG WAI COMMERCIAL BUI LDING GLOUCESTER ROAD WANCHAI 
,GR,A & S CHAVELAS G P,KOUTSELIO IOANNINA 45500 GR 
,IT,A & T EUROPE S P A,VIA SOLFERINO 27 C P 7 46043 CASTIGLIONE D/S MN ITALY 
,IT,A & T EUROPE SPA,VIA SOLFERINO 27 
,NI,A & T NICARAGUA S A,COYOTEPE 800 MTS HACIA TIPITAP ZONA FRANCA SAN GABRIEL MASAYA NI DRIVAS@CSHAPE COM DRIVAS@CSHAPE CO 
,CN,A & U GROUP,LIMITED BLOCK C 23/F LOCKHART ROAD 315-3 21 LOCKHART ROAD WAN CHAI HONG KO NG 
,JP,A &L NORTH AMERICA INC5,NIPPON A AND L INC ON BEHALF OF A &L NORTH AMERICA INC5-33 KITAHAMA 4-CHOME CHUO-KU
,CN,A 1 INDUSTRIES LTD,LIAOWU VILLAGE SHUIBEI AREA SHIPAI TOWN DONGGUAN CITY GUANGDONG PROVINCE CHINA 
,IN,A 2 Z FILTRATION SPECIALITIES PRIVA TE LIMITED, 33 D - 1 INFOCITY SECTOR GURGAON HARYANA 121001 IN 
59,IN,A A CANVAS COMPANY, 177-A AZAD MARKET DELHI-110006 INDIA 
59,IN,A A CANVAS COMPANY, 177 A AZAD MARKET DELHI 110006 INDIA DELHI110006 IN 
60,PK,A A ENTERPRISES, FIRST FLOOR DP-5 SECTOR 12/D NORTH KARACHI INDUSTRIAL AREA PAKISTAN 
60,PK,A A ENTERPRISES, FIRST FLOOR DP-5 SECTOR 12-D NORTH KARACHI INDUSTRIAL AREA KARACHI PAKISTAN KARACHI PK PK 
60,PK,A A ENTERPRISES, FIRST FLOOR DP-5 SECTOR 12-D NORTH KARACHI INDUSTRIAL AREA KHI 
,CN,A A FOOTWEAR CO LTD, NEWVILLAGE 168 GUANGHUI ROAD LUWU INDUSTRIAL DISTRICT WANJIANG SHENZHEN SHENZHEN CHINA 523039 
,IT,A A M S R L, P LE GUERRINO MALETTI 1 
61,JP,A A N JAPAN CO LTD, 263-2 ROPPOGAOKA YOTSUKAIDO-SHI C HIBA 284-0008 JAPAN TEL:043-312-2496 
61,JP,A A N JAPAN CO LTD, 263-2 ROPPOGAOKA YOTSUKAIDO-SHI JP 
,IL,A A POLITIV 1999 LTD,OMPANY NO:512870072 KIBBUTZ EINAT 4880500 IS 
,IL,A A POLITIV 1999 LTD,3 KIBBUTZ EINAT EINAT 48805 ISRAEL 
62,IN,A A STONE IMPEX,F-251 RANPUR KUBER INDUSTRIAL AREA 
62,IN,A A STONE IMPEX,F-251 KUBER INDUSTRIES AREA RANPU R 
63,GU,A ADVANTAGE FORWARDERS INC,1450 WESTGATE PKY DOTHAN AL 36304-1243PO BOX 960 
63,GU,A ADVANTAGE FORWARDERS INC,1450 WESTAGTE PKY DOTHAN AL 36304-1243 
63,GU,A ADVANTAGE FORWARDERS INC,1450 WESTGATE PKY DOTHAN AL 36304-1243 
64,DE,A AGRATI S P A,VIA PIAVE 28-30 VEDUGGIO CON COLZANO 20837 IT 
64,BE,A AGRATI S P A,VIA PIAVE 28/30 
64,IT,A AGRATI SPA,VIA PIAVE 28/30 20837 VEDUGGIO CON COLZANO MB ITALIA 
64,IT,A AGRATI SPA,VIA PIAVE 28/30 VEDUGGIO CON COLZANO MB 20837 ITALY 
64,IT,A AGRATI SPA,VIA PIAVE 28/30 VEDUGGIO CON COLZANO MB ITALY 20837 
64,IT,A AGRATI SPA,VIA PIAVE 28/30 20837 VEDUGGIO CON 
,DE,A AGRATI SPA C/O CENTRO LOGISTICO,VIA FERNANDO SANTI 16/18 
,TR,A AKSULAR GIDA TIC VE SAN AS,ORGANIZE SANAYI BOLGESI 16 CAD NO:6 CORUM 
,TH,A AND B TRADE CO LTD, 93/15 MOO 10 KANCHANAPISEK ROAD BANGRAKPATTANA BANGBUATHONG NONTHABURI 11110 THAILAND 
65,CN,A AND D MANUFACTURING CO LTD, ROOM 1003 10/F TOWER 1 LIPPO CEN TRE 89 QUEENSWAY ADMIRALTY 
65,CN,A AND D MANUFACTURING CO LTD, ROOM 1003 10-F TOWER 1 LIPPO CENTRE 89 QUEENSWAY ADMIRALTY HK 
,CN,A AND H QINGDAO LTD DONGGUAN BRANCH, ROOM 105 BUILDING 7 NO 8 WEIYUAN NORTH AND SOUTH AVENUE HUMEN TOWN DONGGUAN CN 
66,NO,A AND J CAMBODIA CO LTD, TAI SENG BAVET SPECIAL ECONOMIC ZONE NATIONAL ROAD NO 1 BAVET CITY 
66,VN,A AND J CAMBODIA CO LTD, TAI SENG BAVET SPECIAL ECONOMIC ZONE NATIONAL ROAD NO 1 
,NO,A AND J CAMBODIA CO LTD, NATIONAL ROAD NO 1 SVAY RIENG KH 
,DE,A AND M LAKTOMAR SP Z OO,UL PRZEMYSLOWA 9C KOZIENICE 26900 PL 
,CN,A AND S ENTERPRISES COMPANY, RM2 13/F CROWN INDUSTRIAL BUILDING 106 HOW MING STREET KWUN 
67,HN,A AND T NICARAGUA S A,COYOTEPE 800 MTS AL NORTE MASAYA NICARAGUA MANAGUA NICARAGUA 
67,HN,A AND T NICARAGUA SA,COYOTEPE 800 MTS AL NORTE MASAYA 41000 
,CN,A AND U GROUP,LIMITED BLOCK C 23 FLOOR ROCKY CENTRE NO 31HONG KONG HONG KONG 
,PR,A AND W ELECTRICAL AND REFRIGERATIO,URB ALIANZA 140 MOROVIS PR 00687 
,IT,A ARCHIVET SAS DI DODI RICCARDO,VIA MONZORO 6 
,IN,A B C INDUSTRIES TIKARA NAKAHARA, ROAD 
,IN,A B CARPET DURRIES,878 BURHENATH ROAD
,PK,A B EXPORT PVT LTD, MADE UPS LASANI PULLI NEAR KHAYABAN GARDENS SARGODHA ROAD FAISALABAD PAKISTAN 
68,PK,A B EXPORT PVT LTD, MANUFACTURER & EXPORTER OF TEXTILE PULLI NEAR KHAYABAN GARDENS FAISAL ABAD PB 38000 PK 
68,PK,A B EXPORT PVT LTD, MANUFACTURER & EXPORTER OF TEXTILE PULLI NEAR KHAYABAN GARDENS SARGOD HA ROAD FAISALABAD PB 54000 PK 
,NL,A B F BEARINGS B V,3 NUCLEONWEG ROOSENDAAL NB 4706PZ NL 
